;;;;;;;;;;;;;;;;;;;;;;;TR Cartera;;farmacia;Carn Matilde;Hisenda 50 2;Devoluci¢ Hisenda;Ajunt. Arb£cies;Seguretat Social;;Pago ElCorteInglÇs;;;FeuVert;;Perruqueria;;SelfPrinting;Primark;Aldi;Action Girona;FeuVert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Moviments Despeses / Ingressos;;;;;;;;;;;;;T.Moneder;0;;;;;;;;restaurant;Carn. Arimany;IngrÇs Client;Xarrup Sou;Oncolliga;Ocaso;;Accions S&P500;;;IKEA mobles;;IngrÇs Casa;;Prolab;Sports Arb£cies;Novavenda;Aliexpress;IKEA mobles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;BBVA;-2157;;;; ;;;;neteja;Carrefour;Pensi¢ no contributiva;Ingres Extra;PJ Isabel;Agents Comercials;;Accions NVIDIA;;;Back Market;;Retirada casa;;Pixarprinting;Woman Secret;Action Girona;El Corte InglÇs;Back Market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ID_mov;Banc;FormaPago;Data;mes;any;import ingrÇs;Import cÖrrec;grup;Idcategoria;Idconcepte;Comentari;Columna1;;;La Caixa;102,28;;;;;;;;personal;Dia;Paga Extra Jordi;Cobro Banc;Lloguer Parking;;;TR Cashback;;;LIDL;;Transport;;Moldiber;Primark;IKEA menjar;Compra mïbil;LIDL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;BBVA;Compte;01/03/2021;marzo;2021;;11,20 ?;CÖrrec;ingres_general;NN Enric;;;;;;;;;;;;;;roba;Fruita Carmen Veãna;Paga extra Isa;Gelt;;;;;;;Escuraximeneies;;Jubilats Isa;;;;Clarel;;Escuraximeneies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;BBVA;Compte;01/03/2021;marzo;2021;;100,00 ?;CÖrrec;despesa_general;Targeta IKEA;;;Etiquetes de fila;Suma de import ingrÇs;Suma de Import cÖrrec;;;;;;;;;rebost;Fruiteria Bayes;Interesos Trade R.;Venda Articles;;;;;;;Reparacions;;Jubilats Enric;;;;;;Reparacions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;BBVA;Compte;01/03/2021;marzo;2021;;58,67 ?;CÖrrec;despesa_general;Endesa;;;BBVA;182135,19;186096,896;;;;;;;;;Parallar;Fruiteria Deepak;;LetyShops;;;;;;;MediaMark;;Viatges;;;;;;MediaMark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;BBVA;Compte;01/03/2021;marzo;2021;;100,00 ?;op_banc;op_banc;Reintegre Caixer;;;Compte;180198,18;123593,33;3.549,02 ?;BBVA;;;;;;;manteniment;IKEA menjar;;Dividend;;;;;;;Aldi;;Llenya;;;;;;Aldi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;BBVA;Compte;02/03/2021;marzo;2021;;10,00 ?;CÖrrec;asseguranáa;Agents Comercials;;;Däbit;1931,55;52830,383;;;;;;;;;;Jordi Bayes;;;;;;;;;Arc Arb£cies;;Advocat;;;;;;Arc Arb£cies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;BBVA;Compte;02/03/2021;marzo;2021;11,82 ?;;IngrÇs;ingres_general;Cartera DP Petit;;;VISA;5,46;9673,183;391,86 ?;;;;;;;;;LIDL;;;;;;;;;Temu;;FisioterÖpia;;;;;;Temu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;BBVA;Däbit;03/03/2021;marzo;2021;;20,00 ?;op_banc;op_banc;Reintegre Caixer;;;Casa;15930;15517,28;;;;;;;;;;Mamper;;;;;;;;;Bauhaus;;Llenya;;;;;;Bauhaus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;BBVA;Compte;04/03/2021;marzo;2021;;27,80 ?;CÖrrec;asseguranáa;BBVA Asseg. Casa;;;Compte;;100;680,00 ?;;;;;;;;;Mercadona;;;;;;;;;Emmcat Constr.;;Llibres;;;;;;Mïbils;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;BBVA;Compte;04/03/2021;marzo;2021;52,79 ?;;IngrÇs;ingres_general;Cartera DP Gran;;;Efectiu;1595;1132,76;;;;;;;;;;Normal;;;;;;;;;Normal;;Action;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13;BBVA;Compte;05/03/2021;marzo;2021;;50,15 ?;op_banc;op_banc;Pago VISA;;;(en blanc);14335;14284,52;;;;;;;;;;Novavenda;;;;;;;;;Atida;;Advocats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
