idPago;Banc;Formapago;Data;dia;mes;any;Categoria;Concepte;Import;pagat
650;BBVA;Compte;30/10/2026;30;octubre;2026;despesa_general;Crädit Cotxe;337.14;pendent
651;BBVA;Compte;30/10/2026;30;octubre;2026;despesa_general;Hipoteca;489.43;pendent
652;Efectiu;;01/11/2026;1;noviembre;2026;despesa_general;Lloguer Parking;55.0;pendent
653;BBVA;Compte;01/11/2026;1;noviembre;2026;despesa_general;Endesa;25.0;pendent
654;BBVA;Compte;02/11/2026;2;noviembre;2026;despesa_general;Ocaso;27.54;pendent
655;BBVA;Compte;04/11/2026;4;noviembre;2026;despesa_general;Piscina;90.28;pendent
656;LaCaixa;Compte;05/11/2026;5;noviembre;2026;despesa_general;Ajunt. Arb£cies;68.46;pendent
657;BBVA;Compte;05/11/2026;5;noviembre;2026;despesa_general;PJ Isabel;231.53;pendent
658;BBVA;Compte;07/11/2026;7;noviembre;2026;asseguranáa;DP MP Mireia;0.0;pagat
659;BBVA;Compte;07/11/2026;7;noviembre;2026;asseguranáa;DP Morts Enric;14.04;pendent
660;BBVA;Compte;07/11/2026;7;noviembre;2026;asseguranáa;BBVA Asseg. Casa;42.34;pendent
661;BBVA;Compte;19/11/2026;19;noviembre;2026;despesa_general;Lowi;35.9;pendent
662;BBVA;Compte;30/11/2026;30;noviembre;2026;despesa_general;Crädit Cotxe;337.14;pendent
663;BBVA;Compte;30/11/2026;30;noviembre;2026;despesa_general;Hipoteca;489.43;pendent
664;Efectiu;;01/12/2026;1;diciembre;2026;despesa_general;Lloguer Parking;55.0;pendent
665;BBVA;Compte;01/12/2026;1;diciembre;2026;despesa_general;Endesa;25.0;pendent
666;BBVA;Compte;02/12/2026;2;diciembre;2026;despesa_general;Ocaso;27.54;pendent
667;BBVA;Compte;04/12/2026;4;diciembre;2026;despesa_general;Piscina;90.28;pendent
668;LaCaixa;Compte;05/12/2026;5;diciembre;2026;despesa_general;Ajunt. Arb£cies;68.46;pendent
669;BBVA;Compte;05/12/2026;5;diciembre;2026;despesa_general;PJ Isabel;231.53;pendent
670;BBVA;Compte;07/12/2026;7;diciembre;2026;asseguranáa;DP MP Mireia;0.0;pagat
671;BBVA;Compte;07/12/2026;7;diciembre;2026;asseguranáa;DP Morts Enric;14.04;pendent
672;BBVA;Compte;07/12/2026;7;diciembre;2026;asseguranáa;BBVA Asseg. Casa;42.34;pendent
673;BBVA;Compte;19/12/2026;19;diciembre;2026;despesa_general;Lowi;35.9;pendent
674;BBVA;Compte;30/12/2026;30;diciembre;2026;despesa_general;Crädit Cotxe;337.14;pendent
675;BBVA;Compte;30/12/2026;30;diciembre;2026;despesa_general;Hipoteca;489.43;pendent
676;TradeRep.;Compte;02/01/2026;2;enero;2026;despesa_general;Accions S&P500;25.0;pagat
677;TradeRep.;Compte;02/02/2026;2;febrero;2026;despesa_general;Accions S&P500;25.0;pagat
678;TradeRep.;Compte;02/03/2026;2;marzo;2026;despesa_general;Accions S&P500;25.0;pagat
679;TradeRep.;Compte;02/04/2026;2;abril;2026;despesa_general;Accions S&P500;25.0;pagat
680;TradeRep.;Compte;02/05/2026;2;mayo;2026;despesa_general;Accions S&P500;25.0;pagat
681;TradeRep.;Compte;02/06/2026;2;junio;2026;despesa_general;Accions S&P500;25.0;pagat
682;TradeRep.;Compte;02/07/2026;2;julio;2026;despesa_general;Accions S&P500;25.0;pendent
683;TradeRep.;Compte;02/08/2026;2;agosto;2026;despesa_general;Accions S&P500;25.0;pendent
684;TradeRep.;Compte;02/09/2026;2;septiembre;2026;despesa_general;Accions S&P500;25.0;pendent
685;TradeRep.;Compte;02/10/2026;2;octubre;2026;despesa_general;Accions S&P500;25.0;pendent
686;TradeRep.;Compte;02/11/2026;2;noviembre;2026;despesa_general;Accions S&P500;25.0;pendent
687;TradeRep.;Compte;02/12/2026;2;diciembre;2026;despesa_general;Accions S&P500;25.0;pendent
688;TradeRep.;Compte;02/01/2026;2;enero;2026;despesa_general;Accions NVIDIA;25.0;pagat
689;TradeRep.;Compte;02/02/2026;2;febrero;2026;despesa_general;Accions NVIDIA;25.0;pagat
690;TradeRep.;Compte;02/03/2026;2;marzo;2026;despesa_general;Accions NVIDIA;25.0;pagat
691;TradeRep.;Compte;02/04/2026;2;abril;2026;despesa_general;Accions NVIDIA;25.0;pagat
692;TradeRep.;Compte;02/05/2026;2;mayo;2026;despesa_general;Accions NVIDIA;25.0;pagat
693;TradeRep.;Compte;02/06/2026;2;junio;2026;despesa_general;Accions NVIDIA;25.0;pagat
694;TradeRep.;Compte;02/07/2026;2;julio;2026;despesa_general;Accions NVIDIA;25.0;pendent
695;TradeRep.;Compte;02/08/2026;2;agosto;2026;despesa_general;Accions NVIDIA;25.0;pendent
696;TradeRep.;Compte;02/09/2026;2;septiembre;2026;despesa_general;Accions NVIDIA;25.0;pendent
697;TradeRep.;Compte;02/10/2026;2;octubre;2026;despesa_general;Accions NVIDIA;25.0;pendent
698;TradeRep.;Compte;02/11/2026;2;noviembre;2026;despesa_general;Accions NVIDIA;25.0;pendent
699;TradeRep.;Compte;02/12/2026;2;diciembre;2026;despesa_general;Accions NVIDIA;25.0;pendent
700;T.CorteInglÇs;Compte;28/02/2026;28;febrero;2026;menjar;El Corte InglÇs;74.45;pagat
701;BBVA;Compte;05/02/2026;5;febrero;2026;despesa_general;Aigua;68.43;pagat
702;BBVA;Compte;05/05/2026;5;mayo;2026;despesa_general;Aigua;90.94;pagat
703;BBVA;Compte;05/08/2026;5;agosto;2026;despesa_general;Aigua;60.7;pendent
704;BBVA;Compte;05/11/2026;5;noviembre;2026;despesa_general;Aigua;60.7;pendent
705;BBVA;VISA;27/02/2026;27;febrero;2026;proveidor;Exaprint;204.25;pagat
706;BBVA;Compte;08/04/2026;8;abril;2026;varis;Jubilats Isa;12.0;pagat
707;BBVA;Compte;08/04/2026;8;abril;2026;varis;Jubilats Enric;12.0;pagat
